ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
458;Cardiff City Stadium                                        ;33280;154;154;St. Kitts & Nevis                                 ;
459;Carlo Castellani                                            ;19847;154;154;St. Kitts & Nevis                                 ;
460;Carrow Road                                                 ;27244;154;154;St. Kitts & Nevis                                 ;
461;Çaykur Didi                                                 ;15332;154;154;St. Kitts & Nevis                                 ;
462;Cegeka Arena                                                ;24956;154;154;St. Kitts & Nevis                                 ;
463;Celtic Park                                                 ;60832;154;154;St. Kitts & Nevis                                 ;
464;Central Stadium of Profsoyuzes                              ;21793;154;154;St. Kitts & Nevis                                 ;
467;Ceres Park                                                  ;19433;154;154;St. Kitts & Nevis                                 ;
468;Cherkasy-Arena                                              ;10321;154;154;St. Kitts & Nevis                                 ;
469;Cibali - Angelo Massimino                                   ;20204;154;154;St. Kitts & Nevis                                 ;
470;Ciro Vigorito                                               ;16867;154;154;St. Kitts & Nevis                                 ;
471;Ciutat de València                                          ;26354;154;154;St. Kitts & Nevis                                 ;
472;Civitas Metropolitano                                       ;67829;154;154;St. Kitts & Nevis                                 ;
474;"Comunale Renzo Barbera ""La Favorita""                        ";36365;154;154;St. Kitts & Nevis                                 ;
475;Corendon Airlines Park Antalya Stadi                        ;32537;154;154;St. Kitts & Nevis                                 ;
476;Çotanak Spor Kompleksi                                      ;21500;154;154;St. Kitts & Nevis                                 ;
478;Craven Cottage                                              ;25700;154;154;St. Kitts & Nevis                                 ;
479;Daio Wasabi Stayen Stadium                                  ;14600;154;154;St. Kitts & Nevis                                 ;
480;Daknamstadion                                               ;12000;154;154;St. Kitts & Nevis                                 ;
482;De Bosuil                                                   ;16144;154;154;St. Kitts & Nevis                                 ;
483;De Grolsch Veste                                            ;30205;154;154;St. Kitts & Nevis                                 ;
485;Decathlon Arena-Stade Pierre-Mauroy                         ;50186;154;154;St. Kitts & Nevis                                 ;
486;Denizli Atatürk Stadi                                       ;18745;154;154;St. Kitts & Nevis                                 ;
487;Deutsche Bank Park                                          ;55000;154;154;St. Kitts & Nevis                                 ;
493;Dnipro-Arena                                                ;31003;154;154;St. Kitts & Nevis                                 ;
